"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races"
"0400000US23","Maine","1338404","*****","1315993","627","1245001","1050","18501","1684","8204","1081","15356","1303","89","115","1315","989","27527","2506","461","408","27066","2472","22411","627","16452","1356","453","332","362","395","327","233","376","446","1949","658","2492","1101","1608","955","884","520"
"0400000US37","North Carolina","10383620","*****","9388091","373","6505973","4099","2184448","10789","108795","2806","303651","5005","8539","3130","25927","5362","250758","10394","10100","2805","240658","10323","995529","373","592596","17843","38085","5764","12050","3594","3031","1064","1679","1073","300703","16723","47385","6607","19777","3891","27608","4990"
"0400000US13","Georgia","10519475","*****","9497721","1889","5493804","4489","3281137","13739","17359","2503","431551","5561","11618","4737","33630","5556","228622","11733","7548","1987","221074","11699","1021754","1889","633841","17151","38554","5730","17126","5221","4500","1855","2431","1712","267518","17174","57784","5871","36025","4938","21759","3958"
"0400000US02","Alaska","737438","*****","684369","496","443304","640","24011","1839","107887","3567","45513","2453","7877","1564","895","630","54882","4470","863","721","54019","4447","53069","496","31251","3173","1186","709","3484","1505","868","546","81","88","8885","2450","7314","1768","2836","1029","4478","1636"
"0400000US01","Alabama","4887871","*****","4676386","2959","3192169","2083","1298603","6789","20450","2627","64942","3517","1797","889","6970","2108","91455","7474","3111","1434","88344","7183","211485","2959","114669","6494","8437","2613","1613","1005","153","134","0","201","77057","6825","9556","2454","5237","1656","4319","1600"
"0400000US50","Vermont","626299","*****","613849","575","579944","589","7206","1275","1701","727","11841","1193","139","220","1143","515","11875","1596","245","316","11630","1587","12450","575","9393","1069","415","281","42","83","18","39","0","157","1672","770","910","474","180","168","730","429"
"0400000US32","Nevada","3034392","*****","2153247","*****","1469593","1806","266440","5865","30185","2060","244471","5630","18249","1393","11810","3634","112499","8253","3740","1741","108759","8217","881145","*****","455383","16635","13945","3966","14481","3375","5666","1325","1363","948","346976","15964","43331","5155","23530","3797","19801","3668"
"0400000US54","West Virginia","1805832","*****","1780263","1724","1661773","1584","68042","2783","2535","775","13311","1999","451","352","2286","938","31865","2709","335","260","31530","2720","25569","1724","18000","2157","637","425","94","178","148","142","0","201","4144","2035","2546","687","842","414","1704","621"
"0400000US40","Oklahoma","3943079","*****","3514000","*****","2570367","2078","282571","5280","293505","5613","83919","2839","3512","1198","7652","2048","272474","8236","2515","1149","269959","8259","429079","*****","275539","8401","5109","1371","13678","1945","775","383","347","255","102361","8169","31270","3378","11629","2042","19641","3048"
"0400000US55","Wisconsin","5813568","*****","5409735","556","4707567","2730","363642","5718","47092","2209","163421","3964","1800","500","6629","2672","119584","7400","2648","1050","116936","7599","403833","556","249676","8036","6990","2299","3272","1238","1959","850","161","184","114846","7890","26929","3913","12154","2361","14775","3079"
"0400000US72","Puerto Rico","3195153","*****","41136","4708","30793","3930","4372","1314","0","228","1747","918","0","228","3077","1078","1147","1145","0","228","1147","1145","3154017","4708","2048511","21870","396564","17141","4013","1404","3397","1419","767","976","548696","16914","152069","9536","10771","1808","141298","9230"
"0400000US51","Virginia","8517685","*****","7704875","3129","5224295","2491","1597761","11689","18281","2653","550696","7932","4587","1084","20390","3745","288865","12834","6736","2023","282129","12606","812810","3129","513285","15085","33751","5472","3984","2077","4726","1811","1072","643","195353","13047","60639","6298","27467","5630","33172","4824"
"0400000US38","North Dakota","760077","*****","732633","1653","636952","1370","25541","1820","39559","2183","13642","2150","339","360","1584","1468","15016","2264","218","211","14798","2260","27444","1653","14735","1744","355","362","1711","790","107","114","0","161","7985","2069","2551","1102","689","464","1862","977"
"0400000US45","South Carolina","5084127","*****","4789625","3786","3229793","2198","1345077","8963","16553","2780","80638","3648","3685","1904","11601","2934","102278","9361","4395","1737","97883","9367","294502","3786","177913","8211","8522","1987","7119","3702","331","303","319","342","81379","8380","18919","2884","10258","2638","8661","2339"
"0400000US41","Oregon","4190713","*****","3634316","*****","3147602","2219","77915","4035","41055","3377","188459","5229","17844","1742","6609","2156","154832","6903","4082","2117","150750","6593","556397","*****","367381","11518","4131","1446","7996","1982","2221","774","914","699","131364","11105","42390","6118","22098","4283","20292","3879"
"0400000US56","Wyoming","577737","*****","519842","565","485040","773","3102","926","14292","1393","5612","1073","1065","866","537","571","10194","1734","0","203","10194","1734","57895","565","43413","2508","565","617","1893","924","195","229","46","79","8261","2328","3522","1266","1710","958","1812","849"
"0400000US06","California","39557045","*****","24016903","*****","14495479","6952","2179078","12343","139116","6225","5741886","20288","143302","5343","100696","8288","1217346","23565","48539","5036","1168807","22552","15540142","*****","9039909","66202","104772","9144","163676","11000","79699","6521","12437","2429","5352533","69855","787116","22657","392166","15940","394950","14683"
"0400000US28","Mississippi","2986530","*****","2899404","1796","1684276","845","1130353","5976","12675","1589","25819","2138","1179","940","4320","1917","40782","5272","553","381","40229","5256","87126","1796","51179","3867","5246","1994","559","326","323","366","193","164","25458","3984","4168","1418","2660","989","1508","834"
"0400000US09","Connecticut","3572665","*****","2982855","*****","2367636","2812","357164","4799","5105","1458","164859","2500","244","233","11387","3351","76460","5682","5577","1442","70883","5592","589810","*****","320500","12536","34388","4991","4402","1492","996","588","773","757","183821","12240","44930","5752","16522","3033","28408","4700"
"0400000US48","Texas","28701845","*****","17333001","*****","11881257","5475","3409081","15575","70676","5274","1413916","9696","18958","2955","45166","6244","493947","16722","26240","4448","467707","16321","11368844","*****","9217809","41218","117946","11985","79321","11686","16941","3672","2505","1376","1664279","37050","270043","12991","127450","8690","142593","8575"
"0400000US24","Maryland","6042718","*****","5414283","*****","3035148","3631","1782090","8145","9701","1539","376805","5955","2263","1167","25852","4794","182424","10330","10479","3354","171945","9762","628435","*****","269899","13528","28795","5192","3732","1308","2180","968","5048","4298","278190","14759","40591","5471","16994","3815","23597","3958"
